id,generated_id,voted_for,category,voted_id
7373,i7kxxyc1sg,BEATRICE TAISAMO - HAIKUFUMA,Best Supporting Actress,
7374,o2cvljb299,ISARITO MWAKALINDILIE - OBAMBO,Best Actor,
7375,zt3rhxqvau,HELLEN HERMAN - JUA KALI,Best Supporting Actress,
7376,8uxxupcpzp,HELLEN HERMAN - JUA KALI,Best Supporting Actress,
7377,csn0rbq0me,SALUNI YA MAMA KIMBO,Best Comedy,
7378,0kwqdsjy3y,NURU YA MAISHA,Best Feature Film,
7379,1sfvc7rfny,BRENDA MALEMBEKA - BANTU,Best Supporting Actress,
7380,rxol23xx64,BEATRICE TAISAMO - HAIKUFUMA,Best Supporting Actress,
7381,tclggtsasy,BRENDA MALEMBEKA - BANTU,Best Upcoming Actress,
7382,4d8qs8iyex,JACOB STEVEN (JB) - SLAY QUEEN,Best Actor,
7383,u148nfppi0,ALLY SIWILA (BANZO) - JANGA,Best Actor Audience Choice,
7384,8uxxupcpzp,SALUNI YA MAMA KIMBO,Best Comedy,
7385,sf0vypzy5e,MARIA MDEE A.K.A MIMI MARS  (MARIA GEORGE) - JUA KALI,Best Actress Audience Choice,
7386,ib7rjty5w2,KITIMTIM,Best Comedy,
7387,4d8qs8iyex,GODLIVER GODIAN - JUA KALI,Best Actress,
